Classical Chinese character,Modern character,Meaning,Possible modern Chinese words,
之,的,(literary equivalent of 的)/(subor. part.)/him/her/it,之间1，之外2，之后3，之类4，之所以5，之一6，王苑之7（user's typo）之前114,
以,来,to use/according to/so as to/in order to/by/with/because/Israel (abbrev.),以后8，以前9，以及10，以来11，以免12，以内13，以外14，以上15，以为16,
而,,and/as well as/but (not)/yet (not)/(shows causal relation)/(shows change of state)/(shows contrast),而且17，然而18,
于,在,"(surname), in/at/to/from/by/than/out of",终于19，对于20,
将,把,"(will, shall, ""future tense"")/ready/prepared/to get/to use, a general",将近21，将就22，将来23，将要24,
者,," -ist, -er (person)/person (who does sth)",记者25，作者26，读者27,
此,这,this/these,,
无,没, -less/not to have/no/none/not/to lack/un-,无论28，无所谓29，无聊30,
与,和,"(interrog. part.), and/to give/together with, take part in",与时俱进31,
所,,actually/place,派出所32，诊所33，招待所34,
可,可以,can/may/able to/certain(ly)/to suit/(particle used for emphasis),可以35，可惜36，可怜37，可爱38，可怕39，可笑40，认可41，可乐42，可靠43，可是44，可能45,
使,让,to make/to cause/to enable/to use/to employ/messenger,使劲46,
何,什么,carry/what/how/why/which,何必47，何苦48，何以笙箫默49,
相,,"each other/one another/mutually, appearance/portrait/picture",相处50，相当51，相等52，相对53，相反54，相互55，相思56，相同57，相信58，相应59,
同,和,like/same/similar/together/alike/with,共同60，同学61，同情62，同性恋63，同意64,
已,已经,already/to stop/then/afterwards,已经65,
及,和,to reach/and,及格66，及时67,
未,没有,1-3 p.m./8th earthly branch/not yet/did not/have not/not,未免68，未来69,
便,就,"ordinary/plain/convenient/handy/easy/then/so/thus/to relieve oneself, advantageous/cheap",方便70，便利71，便捷72，便宜73,
令,让,make or cause to be/order/command/decree/honorable,,
乃,是,to be/thus/so/therefore/then/only/thereupon,,
则,那么,(expresses contrast with a previous sentence or clause)/standard/norm/rule/to imitate/to follow/then/principle,规则74,
皆,都,all/each and every/in all cases,,
请,,"to ask/to invite/please (do sth)/to treat (to a meal, etc)/to request",邀请75，请假76，请客77，请问78,
若,如果,to seem/like/as/if,,
因,因为,cause/reason/because,因为79,
即,就是,namely/right away/to approach/to draw near,即使80，即将81，即便82,
亦,也,also,吴亦凡83,
必,一定,certainly/must/will/necessarily,必须84，必然85，必要86,
谓,,speak of,所谓87,
且,而且,further/moreover,,
甚,很,very/extremely/more (than),甚至88,
各,每,each/every,,
应,应该,"ought, (surname)/to answer/to respond",应该89，应当90，答应91,
罢,,"to stop/cease/dismiss/suspend/to quit/to finish, (final part.)",,
吾,我,I/my,,
虽,虽然,although/even though,虽然92,
些,一些,some/few/several/(a measure word),一些93,
或,,maybe/perhaps/might/possibly/or,或者94，或许95,
由,从,follow/from/it is for...to/reason/cause/because of/due to/by/to/to leave it (to sb),理由96，由于97,
莫,不要,do not/there is none who,莫名其妙98,
曾,曾经,"(refers to something that happened previously)/already/at some time in the past/before/once, (surname)/great-grand (father)",曾经99,
岂,难道,how can it be that,,
致,,"fine and close, to send/to devote/to deliver/to cause/to convey",兴致100，别致101，细致102，精致103,
凡,但凡,ordinary/every/all/whatever/worldly,平凡104，凡凡105,
绝,很,cut short/extinct/to disappear/to vanish/absolutely/by no means,绝对106,
极,很,"extremely/pole (geography, physics)/utmost/top",极其107，极端108，消极109，积极110,
哉,,(exclamatory or interrog. part.),,
勿,不要,do not,,
否,,"to negate/to deny/not, clogged/evil",否则111，否定112，否认113,
